Tweet,Subjectivity,Label,Sentiment Polarity
"RT @90sfootball: When Sergio Goycochea saved two penalty-kicks against Italy to qualify Argentina for the 1990 World Cup final.
https://t.c…",1.0,Negative,0.0
RT @Pericao7: #J1 ARGENTINA ( @PIPITASFC ) VS (PESSPAIN) BRASIL | 10VS10 SPECIAL WORLD CUP |PES  2018  live at https://t.co/KTGOVjYXTv,0.5357142857142857,Positive,0.24675324675324675
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
@Parker1982Rob Need more world cup? Watch Argentinal-Chile in the #FifaWorldCup2018 qualifiers… https://t.co/t7PYghGErX,0.5,Positive,0.5
"RT @IsimaOdeh: Oliver Kahn said Nigerian football fans are too emotional and they overrate the Super Eagles, and they don't belong at the W…",0.6583333333333333,Positive,0.16666666666666666
"RT @INFOSMESSl: Lionel Messi received only 2 passes from teammates inside the penalty area during the whole World Cup. He scored 1.

But bu…",0.7,Positive,0.1
@TheAnthonyVelez @Hjsz_ @_ViniJ @brfootball For u he might not be.. For me he is.. He was the reason why argentina… https://t.co/KJJxvJNYZD,0.0,Negative,0.0
Watching full replay of the France-Argentina World Cup match that I missed live and catching up on email this morning,0.65,Positive,0.3621212121212121
"RT @OldSchoolPanini: 🗓 ON THIS DAY | 1998
🇳🇱 Dennis Bergkamp scored that goal against Argentina at the 1998 World Cup (Stade Vélodrome - Ma…",0.0,Negative,0.0
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @90sfootball: When Sergio Goycochea saved two penalty-kicks against Italy to qualify Argentina for the 1990 World Cup final.
https://t.c…",1.0,Negative,0.0
"RT @Emiliobarrow: I honestly have no words , first Portugal then Argentina then my own damn team MX🇲🇽 then i hated Brazil cause of award wi…",0.7333333333333334,Positive,0.13749999999999998
"RT @buckytarg: colombia, mexico and argentina after losing in the world cup #ArgColMexParty https://t.co/XrdLIMv80S",0.0,Negative,0.0
@premierleague Need more world cup? Watch Argentinal-Chile in the #FifaWorldCup2018 qualifiers… https://t.co/j9sDinm3Fe,0.5,Positive,0.5
"RT @RachelDonadio: “The ball came, and I did not ask myself a bunch of questions. And it worked.” Words to live by from Pavard on his beaut…",0.5,Positive,0.13636363636363635
"RT @FootballFunnnys: Germany, Argentina, Portugal and Spain all eliminated from the World Cup. 

It’s coming home. https://t.co/qmMNZzq1Nr",0.0,Negative,0.0
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @VoicingFootball: 'Why Argentina’s road to World Cup failure is long, complicated and paved with greed and corruption' 📝  
@eaamalyon ht…",0.5666666666666667,Negative,-0.2888888888888889
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @RachelDonadio: “The ball came, and I did not ask myself a bunch of questions. And it worked.” Words to live by from Pavard on his beaut…",0.5,Positive,0.13636363636363635
"TBH, I have been waiting for 4 years for Argentina to get back to the World Cup and for Messi to get another chance… https://t.co/IhOYylc9Xf",0.0,Negative,0.0
RT @90sfootball: Hidetoshi Nakata in action for Japan against Argentina at the 1998 World Cup. https://t.co/hI8Lahjv2z,0.1,Positive,0.1
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @OldSchoolPanini: 🗓 ON THIS DAY | 1998
🇳🇱 Dennis Bergkamp scored that goal against Argentina at the 1998 World Cup (Stade Vélodrome - Ma…",0.0,Negative,0.0
"RT @90sfootball: When Sergio Goycochea saved two penalty-kicks against Italy to qualify Argentina for the 1990 World Cup final.
https://t.c…",1.0,Negative,0.0
RT @TeleFootball: Ivan Rakitic exclusive interview: Croatia star on thrashing Argentina and the pressure of needing to score a penalty to k…,0.0,Negative,0.0
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
RT @ColinUdoh: INCREDIBLE: How @mikel_john_obi played against Argentina with the trauma of knowing his father had been kidnapped and could…,0.9,Positive,0.9
"RT @AlexShawESPN: Incredible story by @ColinUdoh - John Obi Mikel faced Argentina with Nigeria, at the same time knowing his father was bei…",0.5125,Positive,0.45
"“The ball came, and I did not ask myself a bunch of questions. And it worked.” Words to live by from Pavard on his… https://t.co/96nijYYNJU",0.5,Positive,0.13636363636363635
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @MichaelBarber9: Gone, six potential World Cup winners - Italy, Netherlands, Germany, Argentina, Portugal and Spain. Some very good team…",0.8900000000000001,Positive,0.45499999999999996
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @Emiliobarrow: I honestly have no words , first Portugal then Argentina then my own damn team MX🇲🇽 then i hated Brazil cause of award wi…",0.7333333333333334,Positive,0.13749999999999998
"@PeterDellaPenna @DavidKHopps When Argentina reached the Rugby World Cup Semi-Final in 2007, this match against Sou… https://t.co/g6ZL74ur5l",0.0,Negative,0.0
Argentina Fans - FIFA World Cup 2018 RUSSIA: https://t.co/b8W2qZEzG2 via @YouTube,0.0,Negative,0.0
"RT @OldSchoolPanini: 🗓 ON THIS DAY | 1998
🇳🇱 Dennis Bergkamp scored that goal against Argentina at the 1998 World Cup (Stade Vélodrome - Ma…",0.0,Negative,0.0
"Everyone is acting like Croatia are a top team, they’ve had 1 good game this World Cup vs Argentina, they struggled… https://t.co/tdMMquTdby",0.375,Positive,0.19999999999999998
"RT @Football_LDN: 📆 On this day 20 years ago, Dennis Bergkamp scored one of the most iconic World Cup goals of all time against Argentina.…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @THR: A total of 24.4 million Brits caught the England-Colombia penalty thriller, while 12.5 million in France cheered on Les Bleus to a…",0.75,Negative,0.0
@CPCRetro @talkSPORTDrive He is a player that played for Argentina in the 80’s and early 90’s. He also played for N… https://t.co/zGZp68NezM,0.3,Positive,0.1
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
If we win the world cup I am going to fly to Argentina and beat Maradona to death with the Jules Rimmet myself. #ItsComingHome,0.65,Positive,0.8
"yeah, portugal vs spain and argentina vs france were the best matches of this world cup! https://t.co/Ma7yrvAJoa",0.3,Positive,1.0
RT @TeleFootball: Ivan Rakitic exclusive interview: Croatia star on thrashing Argentina and the pressure of needing to score a penalty to k…,0.0,Negative,0.0
Kylian Mbappe at 19 years old deciding World Cup last 16 game against Argentina  https://t.co/Ey7xMwuOEP,0.22222222222222224,Negative,-0.10000000000000002
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
