Tweet,Subjectivity,Label,Sentiment Polarity
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
1994 World Cup winner Dunga will watch Brazil play Belgium on Friday. https://t.co/LLDF4uW9fM,0.0,Negative,0.0
@thewadekeller @ToddMartinMMA I have yet to listen but I am looking forward to Todd giving props to Belgium for the… https://t.co/Gg6PWdJO2D,0.0,Negative,0.0
"#fact
I can see world cup champion character in #Belgium &amp; #Croatia Only  good luck for both 
what do you think ?",0.8,Positive,0.35
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
"Playing Brazil a dream for Belgium, says coach Martinez https://t.co/LVVjgIBN0q https://t.co/e49b6KqVNl",0.0,Negative,0.0
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/XgB9dYAlzm htt…",0.4666666666666666,Negative,-0.011111111111111108
@colecaldwell23 I’d like to say that Belgium is in fact winning the World Cup🇧🇪,0.75,Positive,0.5
"RT @arandatristan3: If Belgium wins the World Cup, I’ll buy everyone who retweets this a Belgian Waffle.",0.2,Positive,0.3
"RT @arandatristan3: If Belgium wins the World Cup, I’ll buy everyone who retweets this a Belgian Waffle.",0.2,Positive,0.3
"RT @ShashiTharoor: Despite losing to Belgium, the Japanese team cleaned their dressing-room &amp; left a thank-you note to their Russian hosts.…",0.0,Negative,0.0
RT @Radio2000ZA: Japan were eliminated from World Cup play on Monday. But the crushing defeat by Belgium didn't stop the Japanese national…,0.45,Positive,0.2
RT @HazardStuff_: The Conclusion ● Hazard vs Neymar ● BELGIUM vs BRAZIL || World Cup 2018. What a video by @Hazpillian https://t.co/DFhFuxO…,0.0,Negative,0.0
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/OEUreo4OJ8 htt…",0.4666666666666666,Negative,-0.011111111111111108
Willian aiming to end Chelsea teammates WC: https://t.co/h5AQi8axph,0.0,Negative,0.0
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
"RT @arandatristan3: If Belgium wins the World Cup, I’ll buy everyone who retweets this a Belgian Waffle.",0.2,Positive,0.3
The Conclusion ● Hazard vs Neymar ● BELGIUM vs BRAZIL || World Cup 2018. What a video by @Hazpillian https://t.co/DFhFuxODjt,0.0,Negative,0.0
"RT @inlandemperor: Several of the remaining European teams in the World Cup—France, Belgium and England—are reliant on players from their f…",0.0,Negative,0.0
Belgium come from two down to knock out Japan in the World Cup’s last 16 https://t.co/3NluLviYbA #WorldCup2018… https://t.co/GfVc0ztVgw,0.17777777777777778,Negative,-0.07777777777777779
"RT @arandatristan3: If Belgium wins the World Cup, I’ll buy everyone who retweets this a Belgian Waffle.",0.2,Positive,0.3
RT @inyaari: all jump members watched belgium vs japan match in world cup 2018 together wow i bet yabu had to educate the others while watc…,1.0,Positive,0.1
RT @richard_conway: BBC will have live and exclusive coverage of England’s World Cup quarter final against Sweden at 3pm on Saturday. Ahead…,0.75,Positive,0.06818181818181818
"RT @arandatristan3: If Belgium wins the World Cup, I’ll buy everyone who retweets this a Belgian Waffle.",0.2,Positive,0.3
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
"RT @EvrenCu2: FIFA WORLD CUP AIRDROP 
#airdrop #cryptocurrency @BitcoinWSpectrm @Alen54635157 
@Airdropalertcom 
Brazil &gt;&gt;&gt; 15,000 BWS
Fran…",0.0,Negative,0.0
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
"RT @arandatristan3: If Belgium wins the World Cup, I’ll buy everyone who retweets this a Belgian Waffle.",0.2,Positive,0.3
Belgium bounced back with 0:2 and advanced to the quarterfinals of the 2018 world Cup - https://t.co/QuDfivL83v,0.3,Positive,0.2
