Tweet,Subjectivity,Label,Sentiment Polarity
@amimusa54321 @magedghoraba @azzasedky @HodaAKamel @afandouangel @Fou2adaMasr @FahmyAmina @LVview @TorontoBird… https://t.co/DvQIGLkK3w,0.0,Negative,0.0
@donsummerone What a surprise world cup..Harry Kane will win Golden boot as Brazil win world cup,0.43333333333333335,Positive,0.6333333333333334
1994 World Cup winner Dunga will watch Brazil play Belgium on Friday. https://t.co/LLDF4uW9fM,0.0,Negative,0.0
"RT @BrazilStat: OFFICIAL:

Brazil is now the team with most goals scored, most games won and most titles in World Cup history. https://t.co…",0.5,Positive,0.5
"Playing Brazil a dream for Belgium, says coach Martinez https://t.co/LVVjgIBN0q https://t.co/e49b6KqVNl",0.0,Negative,0.0
"So tempted to join the ""it's coming home"" bandwagon but I'm going with Brazil as I have since the 2002 world cup.",0.0,Negative,0.0
@Parker1982Rob Need more world cup? Watch Argentinal-Chile in the #FifaWorldCup2018 qualifiers… https://t.co/t7PYghGErX,0.5,Positive,0.5
RT @HazardStuff_: The Conclusion ● Hazard vs Neymar ● BELGIUM vs BRAZIL || World Cup 2018. What a video by @Hazpillian https://t.co/DFhFuxO…,0.0,Negative,0.0
@ogundamisi @England @FIFAWorldCup @theresa_may Thank God you woke up cos England can only dream of winning the wor… https://t.co/uCbDbhc5Vk,0.875,Positive,0.25
@beINSPORTS_MENA This is the worst world cup for me compared to South Africa and Brazil this one is far from being good,0.8666666666666667,Negative,-0.0666666666666667
RT @Nigerianscamsss: Brazil saw Mexico having fun in the World Cup and this is what they did to them https://t.co/o0w0kOkjml,0.2,Positive,0.3
RT @CNN: Former Real Madrid and Brazil star Ronaldo sends his support as the football world urges boys in Thai cave to 'be strong' as they…,0.3444444444444444,Positive,0.2111111111111111
Willian aiming to end Chelsea teammates WC: https://t.co/h5AQi8axph,0.0,Negative,0.0
The Conclusion ● Hazard vs Neymar ● BELGIUM vs BRAZIL || World Cup 2018. What a video by @Hazpillian https://t.co/DFhFuxODjt,0.0,Negative,0.0
RT @richard_conway: BBC will have live and exclusive coverage of England’s World Cup quarter final against Sweden at 3pm on Saturday. Ahead…,0.75,Positive,0.06818181818181818
Brazil in Bengal ? একটা না বলা গল্প - An untold World Cup Story - FIFA World Cup: https://t.co/9wolsiLPAm,0.0,Negative,0.0
"RT @Predictionhq: Brazil &amp; Croatia, #WorldCup Finalist @ 7.75 @merrybetsports 
Who's Your World Cup Finalists  ? 
Place Your  Here 👉https:/…",0.0,Negative,0.0
"RT @NickCherrie1: Read Roberto Carlos’ exclusive World Cup column . . . His message to Neymar, why £200m Brazil star &amp; England captain Harr…",0.0,Negative,0.0
"RT @EvrenCu2: FIFA WORLD CUP AIRDROP 
#airdrop #cryptocurrency @BitcoinWSpectrm @Alen54635157 
@Airdropalertcom 
Brazil &gt;&gt;&gt; 15,000 BWS
Fran…",0.0,Negative,0.0
"@HaaMortaL No I say England will bring home the World Cup tongue in cheek like most fans do, Brazil are the most li… https://t.co/thdL96FMaK",0.5,Positive,0.5
"@donsummerone I see you're having the ever surprised World Cup but Brazil will take the cup home
#*sambabouyz#",0.9,Positive,0.1
RT @Lucid_Analytics: Probabilities for each nation to advance to each remaining round of the 2018 World Cup. Croatia are now 3rd favorites…,0.2,Negative,-0.1
Neymar diving 'criticism is nonsense' - Ronaldo 🤔 Is it? https://t.co/8oFLoke5kX #ESPNCaribbean #WorldCup… https://t.co/3jyTab2mWw,0.0,Negative,0.0
RT @BrazilStat: My mentions are literally 24/7 Gabriel Jesus vs Roberto Firmino fights since the start of the World Cup. I could literally…,0.0,Negative,0.0
"#BRA vs #BEL this weekend &amp; here's what #TeamFT Suggests..⚽️

£10 returns with a win ✅
£20 in free bets ✅… https://t.co/ugNqL5NKjP",0.6000000000000001,Positive,0.6000000000000001
"RT @hugolowell: Belgium ready for defining game against Brazil, says Vincent Kompany. My report from Moscow for @theipaper @ipapersport: ht…",0.45,Negative,-0.1
I liked a @YouTube video https://t.co/S5e6e5K1pe I GOT THE BRAZIL ICON GOD IN A PACK YESSSS!! - FIFA 18 WORLD CUP ULTIMATE TEAM PACK,0.9,Positive,0.46875
"RT @FOXSports: The FIFA World Cup is down to the Quarterfinals this Friday on FS1!

First at 9am ET, Uruguay tries to shutdown France's ele…",0.34074074074074073,Negative,-0.014814814814814828
"RT @FOXSports: The FIFA World Cup is down to the Quarterfinals this Friday on FS1!

First at 9am ET, Uruguay tries to shutdown France's ele…",0.34074074074074073,Negative,-0.014814814814814828
"RT @BrazilStat: OFFICIAL:

Brazil is now the team with most goals scored, most games won and most titles in World Cup history. https://t.co…",0.5,Positive,0.5
"RT @Emiliobarrow: I honestly have no words , first Portugal then Argentina then my own damn team MX🇲🇽 then i hated Brazil cause of award wi…",0.7333333333333334,Positive,0.13749999999999998
"RT @Hazpillian: So here's my video ahead of the clash this Friday. RT, like, share it...

The Conclusion ● Hazard vs Neymar ● BELGIUM vs BR…",0.0,Negative,0.0
RT @sommerolivia_x: Can u actually imagine the scenes if England win the World Cup though,0.25,Positive,0.4
"RT @FOXSports: The FIFA World Cup is down to the Quarterfinals this Friday on FS1!

First at 9am ET, Uruguay tries to shutdown France's ele…",0.34074074074074073,Negative,-0.014814814814814828
@premierleague Need more world cup? Watch Argentinal-Chile in the #FifaWorldCup2018 qualifiers… https://t.co/j9sDinm3Fe,0.5,Positive,0.5
RT @BalorArtsCentre: GIG POSTPONEMENT: We regret to announce that Dylan Revisted will not be visiting us this Friday (July 6th) as schedule…,0.0,Negative,0.0
"RT @classicshirts: #onthisday 2002: Oliver Kahn couldn't stop Ronaldo as Brazil win the World Cup in Japan 

https://t.co/yarOodlHyX",0.4,Positive,0.8
"Gotta fancy Brazil for the
World Cup...

...Neymars on a Roll.",0.0,Negative,0.0
"Kenyan President,Uhuru Kenyatta paid for Kenya's National Football Team,Harambee Stars to go &amp;amp; watch some 2014… https://t.co/CsJBPcbR1p",0.0,Negative,0.0
RT @haveigotnews: Brazil's World Cup hopes hang in the balance after Neymar receives high-five from small child: https://t.co/8fZyGhExBP,0.4,Negative,-0.25
RT @cnni: Former Real Madrid and Brazil star Ronaldo sends his support as the football world urges boys in Thai cave to 'be strong' as they…,0.3444444444444444,Positive,0.2111111111111111
"RT @TomFornelli: I guess we could call this the #WednesdayFour? Or we can just not call it anything, and instead you can read my rankings o…",0.0,Negative,0.0
WORLD CUP NEWS : Brazil need something special to score past Courtois - Willian,0.4107142857142857,Positive,0.053571428571428575
"RT @LOFC08: Day Eleven of #LOFCworldcup

Shane Lowry

LOFC: Played for the O's at Right/Centre Back for the 2014/15 season. The first of tw…",0.16666666666666666,Positive,0.125
"RT @barcacentre: Willian (Brazil and Chelsea): ""Barça's interest in me? I've been following it online but that's about it. Right now, I'm f…",0.31785714285714284,Positive,0.14285714285714285
Brazil v England is the odds on favourite to be the World Cup final. 😬,1.0,Negative,0.0
