Tweet,Subjectivity,Label,Sentiment Polarity
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @LidlUK: Dirtiest Team In All Of World Cup History: 

 20. It
 19. Would
 18. Be
 17. Massively
 16. Harsh
 15. To
 14. Judge
 13. Diffe…",0.7,Negative,-0.2
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
"RT @PieRatio: After watching England-Colombia, I can confidently claim that the United States will have no further contribution to this Wor…",0.6666666666666667,Positive,0.25
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @PieRatio: After watching England-Colombia, I can confidently claim that the United States will have no further contribution to this Wor…",0.6666666666666667,Positive,0.25
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
"RT @KennethCorrea: The U.S had two major let downs in this world cup:

1. The national team did not qualify for the cup for the first time…",0.41666666666666663,Positive,0.15625
"RT @LidlUK: Dirtiest Team In All Of World Cup History: 

 20. It
 19. Would
 18. Be
 17. Massively
 16. Harsh
 15. To
 14. Judge
 13. Diffe…",0.7,Negative,-0.2
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @MailSport: Radamel Falcao accuses referee of favouring England in World Cup last 16 clash with Colombia:

'He only spoke English, some…",0.35555555555555557,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
RT @utdxtra: Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the World Cup afte…,0.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
RT @guardian_sport: Jordan Pickford: from non-league novice to World Cup hero in six years https://t.co/NQPIPq6x5F,0.0,Negative,0.0
RT @davidjcarri: Arsene Wenger signing David Ospina in 2014 so he’s #1 Colombia GK in time for England’s World Cup penalty shootout. The bi…,0.0,Negative,0.0
Here here. There is a cloud hanging over this #WorldCup2018 and #Fifa must not ignore it  https://t.co/fPFfM1wE0n,0.0,Negative,0.0
RT @Independent: Colombians who missed penalties receive death threats from angry fans https://t.co/xAFpkcVuF7 https://t.co/EAK7noynSN,0.5625,Negative,-0.25
RT @Damian_rios_: Honestly Out of all the teams left in the World Cup England is the least deserving. Colombia got robbed,0.525,Positive,0.22499999999999998
Jesse Lingard topped the running stats (15.3km) for England vs Colombia. This is the second furthest ran in the Wor… https://t.co/bEdhCE0gF7,0.0,Negative,0.0
RT @_peterglynn: Control of emotion and possession guides England past Colombia and into World Cup quarter-final with Sweden. Analysis of l…,0.25,Negative,-0.25
RT @Independent: Colombians who missed penalties receive death threats from angry fans https://t.co/xAFpkcVuF7 https://t.co/EAK7noynSN,0.5625,Negative,-0.25
| World Cup 2018: Diego Maradona condemned by FIFA for 'inappropriate' and 'unfounded' slamming of referee after En… https://t.co/QLEQyCoPHW,0.0,Negative,0.0
RT @Independent: Watch: England World Cup fans violently clash in huge beer garden brawl https://t.co/gqmtojj7A4 https://t.co/HU4pJ2GoKb,0.6749999999999999,Negative,-0.13333333333333333
BBC Sport - World Cup 2018: Diego Maradona says England committed 'robbery' against Colombia… https://t.co/dviEaiw074,0.0,Negative,0.0
RT @DiegoOjeda66: You know you have created community in your classes when your soccer team loses during the World Cup and you get many mes…,0.3,Positive,0.1
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @Squawka: Only two players in Colombia's history have scored in at least three consecutive World Cup games:

2014: James Rodriguez
2018:…",0.7,Negative,-0.15
