Tweet,Subjectivity,Label,Sentiment Polarity
World Cup 2018: Costa Rica cut ties with Oscar Ramirez https://t.co/Zp4eIteLVY https://t.co/Eg8n3ntv2p,0.0,Negative,0.0
Costa Rica cut ties with Oscar Ramirez https://t.co/EJI4nU4A68 #Football https://t.co/QbFubBdMjS,0.0,Negative,0.0
Russia 2018 FIFA World Cup Costa Rica Stamp Men’s T-Shirt (Medium) https://t.co/lTYgkDjllc https://t.co/gDPDLsfenp,0.0,Negative,0.0
Russia 2018 FIFA World Cup Costa Rica Stamp Men’s T-Shirt (Medium) https://t.co/3BXcmdHukq https://t.co/va2UXSHhFH,0.0,Negative,0.0
Costa Rica says coach out after disappointing World Cup  https://t.co/dBs1oLO3bB,0.7,Negative,-0.6
@FOXSoccer @AlexiLalas Futbol “El Tri” analysis: the experts knows that Osorio only had gas for the qualifiers CONC… https://t.co/lHzj70w1Xx,1.0,Negative,0.0
RT @JonnyGabriel: I feel like this whole World Cup has been a conspiracy by @FootballManager to make all those Costa Rica - Austria and Mex…,0.4,Positive,0.2
Costa Rica says coach out after disappointing World Cup | The Costa Rica soccer federation says national team coach… https://t.co/BIursBd3K8,0.7,Negative,-0.6
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
Costa Rica says coach out after disappointing World Cup https://t.co/VYNOQbV8Hd,0.7,Negative,-0.6
"""Costa Rica Says Coach Out After Disappointing World Cup"" by THE ASSOCIATED PRESS via NYT https://t.co/esAiIZfV5B",0.7,Negative,-0.6
"RT @JulianR54674007: Since this Tweet from Arbeloa calling 
Madrid players the best at the World Cup : Portugal and Ronaldo out, Kroos and…",0.3,Positive,1.0
Costa Rica says coach out after disappointing World Cup https://t.co/DDM8Kp4THP,0.7,Negative,-0.6
"""Costa Rica Says Coach Out After Disappointing World Cup"" https://t.co/WrmH3jNQgZ #agentenaoquersocomida",0.7,Negative,-0.6
"[Njujork Tajms piše o Srbiji] ""Costa Rica Says Coach Out After Disappointing World Cup"" by THE ASSOCIATED PRESS via… https://t.co/vcL5KZGMKy",0.7,Negative,-0.6
RT @CFC_CommTrust: 🔵 | Congratulations to @StMartinsChest1 who won our Best Dressed School competition for their brilliant representation o…,0.65,Positive,0.95
"Following their World Cup exit, Costa Rica have announced coach Oscar Ramirez will not be handed a new contract. https://t.co/uKyhLyQgLy",0.2772727272727273,Positive,0.06818181818181818
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
I added a video to a @YouTube playlist https://t.co/DJksTLqoap Belgium vs Costa Rica - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/aCFccftufs Costa Rica v Serbia - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/81R4qDwtLJ Brazil vs Costa Rica - PES 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/QRusZPs8VP Switzerland vs Costa Rica - FIFA 18 World Cup,0.0,Negative,0.0
RT @CFC_CommTrust: 🔵 | Congratulations to @StMartinsChest1 who won our Best Dressed School competition for their brilliant representation o…,0.65,Positive,0.95
"no world cup games again? I wanna see playoffs between the losers, 17th v 18th place play off between Tunisia and Costa Rica, count me in 👋",0.2,Negative,-0.2
RT @CFC_CommTrust: 🔵 | Congratulations to @StMartinsChest1 who won our Best Dressed School competition for their brilliant representation o…,0.65,Positive,0.95
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
RT @CFC_CommTrust: 🔵 | Congratulations to @StMartinsChest1 who won our Best Dressed School competition for their brilliant representation o…,0.65,Positive,0.95
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
RT @Leatile_kowa12: I still remember his words in 2014 World Cup after Van Gaal substituted in Krul for Netherlands. He said 'Cruel For Cos…,1.0,Negative,-1.0
🔵 | Congratulations to @StMartinsChest1 who won our Best Dressed School competition for their brilliant representat… https://t.co/3DAEnszo49,0.65,Positive,0.95
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
https://t.co/YNEgx8IOHX VS Colombia(1-1) 4-3 Penalties – All Goals &amp; Highlights ● World Cup 2018  ●3/7/2018 HD https://t.co/lvUGhU7lWX,0.0,Negative,0.0
RT @StMartinsChest1: Spain 🇪🇸 and Costa Rica 🇨🇷 are ready for the World Cup this afternoon @goals_chester with  @ChesterFC @CFC_CommTrust #…,0.5,Positive,0.2
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"@michaeljknowles The USA didn't qualify for the World Cup as they finished behind Mexico, Costa Rica, Panama and Ho… https://t.co/HdPNiwcbkL",0.7,Negative,-0.4
"RT ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match b… https://t.co/qTzX3dVxvq",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"RT @ReutersSports: Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and Costa…",0.44999999999999996,Negative,-0.25
"Field duty: Photographers set up their remote cameras behind a goal, before the #WorldCup match between Brazil and… https://t.co/Ey98HOdRck",0.44999999999999996,Negative,-0.25
