Tweet,Subjectivity,Label,Sentiment Polarity
"The World Cup final will include one of these teams — England, Croatia, Sweden, Russia. Really. https://t.co/3Zq45pCtCv",0.6,Positive,0.1
So England will meet Croatia in the semi’s if they both win on Saturday.. I would be extremely happy for either to… https://t.co/V8XWkfcCIk,0.7,Positive,0.8
"#fact
I can see world cup champion character in #Belgium &amp; #Croatia Only  good luck for both 
what do you think ?",0.8,Positive,0.35
Lol Croatia winning the World Cup,0.725,Positive,0.65
New post (Croatia vs Nigeria - 2018 FIFA World Cup Russia™) has been published on Fifa World Cup -… https://t.co/5C0gvhVIFV,0.45454545454545453,Positive,0.13636363636363635
RT @NigeriaNewsdesk: Denmark and Croatia set World Cup record for fastest goals https://t.co/5gAR9i0FXD via @todayng https://t.co/aNVWau2SJR,0.0,Negative,0.0
World Cup: Russia expecting “equal” game against Croatia https://t.co/5gvVKZ8kpv https://t.co/JIl9fCLuwb,0.325,Negative,-0.2
"RT @utdxtra: Mourinho: “For many years England isn’t reaching this stage of the competition, so being in the quarter-finals, playing agains…",0.5,Positive,0.5
Dejan Lovren insists Croatia have Liverpool's spirit in World Cup run https://t.co/KBckw7ZskF https://t.co/vaKjCEBjm8,0.0,Negative,0.0
"RT @Predictionhq: Brazil &amp; Croatia, #WorldCup Finalist @ 7.75 @merrybetsports 
Who's Your World Cup Finalists  ? 
Place Your  Here 👉https:/…",0.0,Negative,0.0
"@SPORTAT10TV Croatia never loses since day 1 not even a draw
Mark my words it will take world cup",0.1,Positive,0.15
"RT @Super6: 🇷🇺 Russia.
🇭🇷 Croatia.
🇩🇰 Denmark.
🇸🇪 Sweden.
🇨🇭 Switzerland.
🇨🇴 Colombia.
🏴󠁧󠁢󠁥󠁮󠁧󠁿 ENGLAND.
 
😳 One of these will be in the Wor…",0.0,Negative,0.0
"RT @AustinDarbo: Russia
Croatia
Denmark
Sweden
England
Switzerland
Colombia

One of the above teams will be in the World Cup final...madnes…",0.1,Negative,0.0
RT @Lucid_Analytics: Probabilities for each nation to advance to each remaining round of the 2018 World Cup. Croatia are now 3rd favorites…,0.2,Negative,-0.1
"RT @bet365: One of these teams is guaranteed a spot in the World Cup 2018 final.

🇷🇺 Russia
🇭🇷 Croatia
🇸🇪 Sweden
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England https://t.…",1.0,Negative,0.0
"Russia v Croatia Tips and World Cup Preview

⚽ Best bets for #RUS v #CRO

#WorldCup #RUSCRO

https://t.co/NNWQvVVwbf https://t.co/vSqU5wXIP0",0.3,Positive,1.0
"Russia v Croatia Tips and World Cup Preview

⚽ Best bets for #RUS v #CRO

#WorldCup #RUSCRO

https://t.co/zRLmvEdj5q https://t.co/t0LIzKD2Cs",0.3,Positive,1.0
"Russia v Croatia Tips and World Cup Preview

⚽ Best bets for #RUS v #CRO

#WorldCup #RUSCRO

https://t.co/lYQGoq16Be https://t.co/Pg9CMVfTHE",0.3,Positive,1.0
"RT @united_true: Mourinho: “For many years England isn’t reaching this stage of the competition, so being in the quarter-finals, playing ag…",0.5,Positive,0.5
RT @CroatianSoccer: This guy has been legendary for Croatia this World Cup https://t.co/xTSxlcDcic,1.0,Positive,1.0
RT @UFWC_Football: So who will become unified @UFWC_Football and @FIFAWorldCup champions? There are only eight teams left in the tournament…,0.5,Negative,0.0
@stipemiocic can we agree on a Croatia Uruguay World Cup final? Good luck for your fight man.,0.8,Positive,0.35
"RT @Bet9jaOfficial: The quarter final line up is complete! 

France v Uruguay 
Russia v Croatia 
Brazil v Belgium 
Sweden v England 

Who i…",0.7,Positive,0.0625
RT @TeleFootball: Ivan Rakitic exclusive interview: Croatia star on thrashing Argentina and the pressure of needing to score a penalty to k…,0.0,Negative,0.0
I hope the winner of Croatia vs Russia hoists the Fifa World Cup,0.0,Negative,0.0
Dejan Lovren insists Croatia have Liverpool’s spirit in World Cup run #LFC https://t.co/JBCOUfeuiV,0.0,Negative,0.0
"RT @ChicagoSports: World Cup final will include one of these teams: England, Croatia, Sweden, Russia. Really. https://t.co/o7xJTwX1XC https…",0.6,Positive,0.1
RT @AnthonyZoric: 20 years ago today Croatia beat Germany 3-0 in the 1998 WC quarterfinal for its the important victory in Croatian footbal…,1.0,Positive,0.4
RT @CroatianSoccer: This guy has been legendary for Croatia this World Cup https://t.co/xTSxlcDcic,1.0,Positive,1.0
"World Cup final #will include one of these teams: #England, #Croatia, #Sweden, Russia. Rea - Jul 4 @ 5:46 PM ET  https://t.co/lZmkYQ5oWR",1.0,Negative,0.0
RT @kroosnaldoo: This is the house in which Luka Modric spent most of his early childhood. To the left is mines warning sign. Tonight he wa…,0.22499999999999998,Positive,0.125
RT @pedley_luke: Bit o’ shameless self-promotion with my first article for the @RadioTimes! https://t.co/hnanVusOSx,0.3333333333333333,Positive,0.3125
RT @AnfieldHQ: Dejan Lovren insists Croatia have the same spirit that drove Liverpool towards the Champions League final as he targets Worl…,0.5625,Negative,0.0
RT @AnfieldHQ: Dejan Lovren insists Croatia have the same spirit that drove Liverpool towards the Champions League final as he targets Worl…,0.5625,Negative,0.0
RT @AnfieldHQ: Dejan Lovren insists Croatia have the same spirit that drove Liverpool towards the Champions League final as he targets Worl…,0.5625,Negative,0.0
"Everyone is acting like Croatia are a top team, they’ve had 1 good game this World Cup vs Argentina, they struggled… https://t.co/tdMMquTdby",0.375,Positive,0.19999999999999998
"RT @Lakers: 🇭🇷 @ivicazubac couldn't miss in back-to-back wins for the Croatian national team.

32 points, 10/13 from the field and 12/12 at…",0.2,Positive,0.3
RT @kroosnaldoo: This is the house in which Luka Modric spent most of his early childhood. To the left is mines warning sign. Tonight he wa…,0.22499999999999998,Positive,0.125
Dejan Lovren insists Croatia have Liverpool's spirit in World Cup run https://t.co/R6FVzS3o6D,0.0,Negative,0.0
RT @AnfieldHQ: Dejan Lovren insists Croatia have the same spirit that drove Liverpool towards the Champions League final as he targets Worl…,0.5625,Negative,0.0
@MarkSDobson Okay then..... managed to get a 2-2 draw against your world cup winning team but they wouldn't beat Pa… https://t.co/TBs6uomoTY,0.625,Positive,0.5
"RT @WorIdCupUpdates: Ronaldo won the game for Portugal.

Modric won the game for Croatia.

Kroos won the game for Germany. 

Real Madrid pl…",0.37500000000000006,Negative,-0.25000000000000006
"RT @Lakers: 🇭🇷 @ivicazubac couldn't miss in back-to-back wins for the Croatian national team.

32 points, 10/13 from the field and 12/12 at…",0.2,Positive,0.3
"RT @2ahtnamas: One of these teams is guaranteed a spot in the World Cup 2018 final.

🇷🇺 Russia
🇭🇷 Croatia
🇸🇪 Sweden
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England 

🤔🤔🤔🤔",1.0,Negative,0.0
RT @kroosnaldoo: This is the house in which Luka Modric spent most of his early childhood. To the left is mines warning sign. Tonight he wa…,0.22499999999999998,Positive,0.125
"No real stand out teams in the world cup quarters.
Uruguay: Decent team.
France: Amazing attack, wank defense.
Braz… https://t.co/GlgOotTQD8",0.6222222222222222,Positive,0.22222222222222224
"RT @Lakers: 🇭🇷 @ivicazubac couldn't miss in back-to-back wins for the Croatian national team.

32 points, 10/13 from the field and 12/12 at…",0.2,Positive,0.3
RT @TeleFootball: Ivan Rakitic exclusive interview: Croatia star on thrashing Argentina and the pressure of needing to score a penalty to k…,0.0,Negative,0.0
"RT @2ahtnamas: One of these teams is guaranteed a spot in the World Cup 2018 final.

🇷🇺 Russia
🇭🇷 Croatia
🇸🇪 Sweden
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England 

🤔🤔🤔🤔",1.0,Negative,0.0
"RT @Lakers: 🇭🇷 @ivicazubac couldn't miss in back-to-back wins for the Croatian national team.

32 points, 10/13 from the field and 12/12 at…",0.2,Positive,0.3
