Tweet,Subjectivity,Label,Sentiment Polarity
RT @NigeriaNewsdesk: Denmark and Croatia set World Cup record for fastest goals https://t.co/5gAR9i0FXD via @todayng https://t.co/aNVWau2SJR,0.0,Negative,0.0
"RT @Super6: 🇷🇺 Russia.
🇭🇷 Croatia.
🇩🇰 Denmark.
🇸🇪 Sweden.
🇨🇭 Switzerland.
🇨🇴 Colombia.
🏴󠁧󠁢󠁥󠁮󠁧󠁿 ENGLAND.
 
😳 One of these will be in the Wor…",0.0,Negative,0.0
"RT @AustinDarbo: Russia
Croatia
Denmark
Sweden
England
Switzerland
Colombia

One of the above teams will be in the World Cup final...madnes…",0.1,Negative,0.0
"Everyone is acting like Croatia are a top team, they’ve had 1 good game this World Cup vs Argentina, they struggled… https://t.co/tdMMquTdby",0.375,Positive,0.19999999999999998
"Danijel Subasic and Kasper Schmeichel Shine in Penalty Shootout : As Denmark Crash out of 2018 FIFA World Cup
https://t.co/E8Wwpeay9Z",0.0,Negative,0.0
"World Cup Power Rankings, Round of 16

1. Brazil
2. France
3. Uruguay 
4. Croatia
5. Belgium
6. England 
7. Russia… https://t.co/6wR6eLXGKf",0.4,Negative,-0.2
"Today News – World Cup predictions – Spain vs. Russia, Croatia vs. Denmark https://t.co/KRLZCVHI1t https://t.co/etzrzQZFvq",0.0,Negative,0.0
RT @DKAmbTanzania: Congratulation to #Tanzania and #Denmark for Yussuf Poulsen from #Tanga playing for DK at the World Cup in soccer scorin…,0.0,Negative,0.0
"Rank the gk from this world cup:
Pickford (England)
Ochoa (Mexico)
Schmeichel (Denmark)
Subasic (Croatia)
Muslera (Uruguay)",0.9,Negative,-0.8
RT @megsAA1031: 2018 MetalRock World Cup - Volbeat (Denmark) VS Avenged Sevenfold (USA) https://t.co/1FyfILapHe GUYS. VOTE FOR @TheOfficial…,0.0,Negative,0.0
2018 MetalRock World Cup - Volbeat (Denmark) VS Avenged Sevenfold (USA) https://t.co/1FyfILapHe GUYS. VOTE FOR @TheOfficialA7X,0.0,Negative,0.0
@ReadSouthampton Did he actually feature for Denmark during the world cup?,0.1,Negative,0.0
"RT @simotrfc: Seeing a lot of Welsh tweeting about Iceland and their route to the Semi final of the euros, Which was a great achievement by…",0.875,Positive,0.4
RT @abdulsule: So sad Nigeria SUPER Eagles out of world cup and my great Denmark team went out too after a beautiful  and tactical https://…,0.8541666666666666,Positive,0.37083333333333335
So sad Nigeria SUPER Eagles out of world cup and my great Denmark team went out too after a beautiful  and tactical… https://t.co/zEnVdrdO2d,0.8541666666666666,Positive,0.37083333333333335
"They’re showing highlights of France v Argentina in the restaurant I’m in. Wait a minute, was that Saturday? So sin… https://t.co/L8tCjMgJba",0.0,Negative,0.0
"Seeing a lot of Welsh tweeting about Iceland and their route to the Semi final of the euros, Which was a great achi… https://t.co/9Uz57xggOE",0.875,Positive,0.4
