Tweet,Subjectivity,Label,Sentiment Polarity
Raheem Sterling on Colombia coach's bizarre attempt to wind him up as England won World Cup 2018 thriller… https://t.co/aSGAwUCiu7,0.6,Positive,0.4
"RT @PieRatio: After watching England-Colombia, I can confidently claim that the United States will have no further contribution to this Wor…",0.6666666666666667,Positive,0.25
RT @_scottanderson9: It’s the year 2022. England have just won their second World Cup in a row under Sir Gareth Southgate. Harry Kane has j…,0.0,Negative,0.0
RT @MarioMelchiot: What it means to England to win a penalty shootout at the World Cup #mmlove https://t.co/gqnQl2FVt7,0.4,Positive,0.8
RT @jimmymcbride1: Ashley Young &amp; Jesse Lingard playing massive parts in England’s World Cup campaign must really hurt some Man Utd fans th…,0.5333333333333333,Positive,0.10000000000000002
RT @ProfKumi: How I’m dressing to you lots bbqs and day parties if England win the World Cup https://t.co/pAFyIYUmuz,0.4,Positive,0.8
RT @EvanBrolan: If your not in a bar or a pub when England are playing in the World Cup then there is something seriously wrong with you…,0.9,Negative,-0.5
"RT @KennethCorrea: The U.S had two major let downs in this world cup:

1. The national team did not qualify for the cup for the first time…",0.41666666666666663,Positive,0.15625
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @rustyrockets: Coming Home? [Part 2 - the final part]
#Eng #ItsComingHome #WorldCup2018
Read: https://t.co/7ASROGI29Z https://t.co/GvI8y…",1.0,Negative,0.0
"RT @VixMeldrew: It’s August.
Dani and Jack are married.
England have won the World Cup.
A statue of Georgia is erected in Trafalgar Square.…",0.25,Positive,0.25
"RT @PG8Testimonial: To Maradona 

Happy Wednesday ! 

Love Gazza xxxx

P.s Get you money on England to win the World Cup.... Footballs Comi…",0.6666666666666666,Positive,0.7666666666666666
"RT @Nellz_17: Tonight’s World Cup fixture 

Colombia 🇨🇴 v England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 

Also known as 

Supply v Demand",0.0,Negative,0.0
"RT @PG8Testimonial: To Maradona 

Happy Wednesday ! 

Love Gazza xxxx

P.s Get you money on England to win the World Cup.... Footballs Comi…",0.6666666666666666,Positive,0.7666666666666666
"RT @PG8Testimonial: To Maradona 

Happy Wednesday ! 

Love Gazza xxxx

P.s Get you money on England to win the World Cup.... Footballs Comi…",0.6666666666666666,Positive,0.7666666666666666
