Tweet,Subjectivity,Label,Sentiment Polarity
"Benjamin Pavard, and His World Cup Highlight, Came Out of Nowhere https://t.co/F6lcxvbI5l",0.0,Negative,0.0
RT @Shuaeebs: @K1Says To gather Nigeria's fan support for France in winning the World Cup.. Lol,0.725,Positive,0.65
"Lionel Messi and Argentina were eliminated from the World Cup by France, Cristiano Ronaldo’s Portugal fell to a 2-1… https://t.co/LJuDmDehiw",0.0,Negative,0.0
"RT @TheUndefeated: France, with 12 of its 23 players having African ancestry, is the #WorldCup’s last-standing ""African"" team.
https://t.co…",0.0,Negative,0.0
"RT @90sfootball: The goal that sealed the 1998 World Cup for France.
https://t.co/hQg5gt1wsw",0.0,Negative,0.0
"Benjamin Pavard, and His World Cup Highlight, Came Out of Nowhere https://t.co/izDWAKvBPP",0.0,Negative,0.0
"Via @NYTimes📌 #BenjaminPavard, and His World Cup Highlight, Came Out of Nowhere https://t.co/aIN4bPGrcl",0.0,Negative,0.0
"Benjamin Pavard, and His World Cup Highlight, Came Out of Nowhere https://t.co/rmdvDVjHZq https://t.co/W4E3Uzorl1",0.0,Negative,0.0
"RT @TheUndefeated: France, with 12 of its 23 players having African ancestry, is the #WorldCup’s last-standing ""African"" team.
https://t.co…",0.0,Negative,0.0
"Benjamin Pavard, and His World Cup Highlight, Came Out of Nowhere https://t.co/VBDa7mXDun",0.0,Negative,0.0
"RT @TheUndefeated: France, with 12 of its 23 players having African ancestry, is the #WorldCup’s last-standing ""African"" team.
https://t.co…",0.0,Negative,0.0
"RT @sportswithjohn: World Cup Rankings Going into the Quarter Finals:
8. It's unfair
7. To rank countries
6. That have played
5. Uneven sch…",0.7000000000000001,Negative,-0.5
"RT @TheUndefeated: France, with 12 of its 23 players having African ancestry, is the #WorldCup’s last-standing ""African"" team.
https://t.co…",0.0,Negative,0.0
@ogundamisi @England @FIFAWorldCup @theresa_may Thank God you woke up cos England can only dream of winning the wor… https://t.co/uCbDbhc5Vk,0.875,Positive,0.25
"Benjamin Pavard, and His World Cup Highlight, Came Out of Nowhere https://t.co/0WHHxmg930",0.0,Negative,0.0
"RT @myunicy: ""As the Super Eagles are no longer in the competition, please support the French Team in the Football World Cup!"" - President…",0.3333333333333333,Positive,0.16666666666666666
