Tweet,Subjectivity,Label,Sentiment Polarity
@AlexiLalas Quit ignoring what Sweden have don’t this World Cup just because you didn’t fancy them like you did Ice… https://t.co/5l3TN6a1ls,0.0,Negative,0.0
@CrisuYague -&gt; I have found the World Cup player who looks most like me: ARI SKULASON https://t.co/1Ax1oiCc1r,0.5,Positive,0.5
"Everyone is acting like Croatia are a top team, they’ve had 1 good game this World Cup vs Argentina, they struggled… https://t.co/tdMMquTdby",0.375,Positive,0.19999999999999998
RT @lcardismo: Iceland goalkeeper Halldorsson produced this video for the world cup and it’s amazing. https://t.co/MhHsMKTIwi,0.9,Positive,0.6000000000000001
"RT @juliarsct: @ChrisKempshall I only actually began to enjoy watching rugby when I started playing. Oddly enough, my favourite game in thi…",0.5,Negative,0.0
"RT @simotrfc: Seeing a lot of Welsh tweeting about Iceland and their route to the Semi final of the euros, Which was a great achievement by…",0.875,Positive,0.4
"Seeing a lot of Welsh tweeting about Iceland and their route to the Semi final of the euros, Which was a great achi… https://t.co/9Uz57xggOE",0.875,Positive,0.4
"RT @allfootballapp: Eriksson says World Cup quarter-final against Sweden will be like Iceland in 2016
https://t.co/OmaveFFGYh https://t.co/…",0.0,Negative,0.0
"RT @rvkgrapevine: Thanks for watching the games with us. This was the most fun we ever had on Twitter. We love you guys.

We’ll keep doing…",0.375,Positive,0.375
RT @arnaudpepin: Argentina vs France yeah probably a world cup classic that. Argentina actually were okay I think the spirit and organisati…,0.25555555555555554,Positive,0.2222222222222222
"@Jopara5 @thesammysossa @Kingpaul__ Loll that’s too far. someone set up fireworks near my house, because Nigeria wo… https://t.co/24tr56rP4q",0.7,Positive,0.1
RT @mattdanaher: Iceland Head Coach 2 days after being eliminated from the World Cup. Incredible mentality to be in a position of that stat…,0.9,Positive,0.9
I added a video to a @YouTube playlist https://t.co/1OBYXteGHb Argentina vs Iceland - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/zhLSZnQyis Nigeria vs Iceland - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/SvzuOsFdVO Croatia vs Iceland - FIFA 18 World Cup,0.0,Negative,0.0
