Tweet,Subjectivity,Label,Sentiment Polarity
"RT @AaronBastani: My dad came from a country which had a coup orchestrated by British secret services (Iran).

He would cry tears of joy if…",0.3,Positive,0.13333333333333333
"RT @AaronBastani: My dad came from a country which had a coup orchestrated by British secret services (Iran).

He would cry tears of joy if…",0.3,Positive,0.13333333333333333
"""World Cup"" In Russia Surely ""Sports Body "" Has a Lot of Time To Promote Fascist Regimes Like The Czar of Modern Ru… https://t.co/QqxIkQqgzQ",0.5944444444444444,Positive,0.35
"Countries that deserved 'more' in the world cup

Argentina
Portugal
Iran
Mexico
Japan
Nigeria
Senegal 
Spain 

#WorldCupRussia2018",0.5,Positive,0.5
VOTE GIVE ME A REASON TO WATCH THE WORLD CUP AFTER IRAN WAS ELIMINATED https://t.co/21VmWNRkdh,0.0,Negative,0.0
"RT @AaronBastani: My dad came from a country which had a coup orchestrated by British secret services (Iran).

He would cry tears of joy if…",0.3,Positive,0.13333333333333333
@stevemack2017 @TranmereRovers Yeah .... strange one. Even if it was like Japan v Iran I'd be watching the World Cu… https://t.co/hAgsNF0ocE,0.15,Negative,-0.05
"Soccer diplomacy: Netanyahu and Putin to discuss Iran, Syria at World Cup https://t.co/xC0Xc7vLv3 via @RaptureForums",0.0,Negative,0.0
"USA is co-hosting the 2026 World Cup. If the travel ban is still in effect, what happens if Iran qualifies like the… https://t.co/u5pSrqMlrm",0.0,Negative,0.0
RT @SpankyWHUFC: @CalumWright2 Only time Scotland will get into a World Cup is when Iran play Brunei and the scoreboard reads Irn-Bru,1.0,Negative,0.0
"RT @AaronBastani: My dad came from a country which had a coup orchestrated by British secret services (Iran).

He would cry tears of joy if…",0.3,Positive,0.13333333333333333
I added a video to a @YouTube playlist https://t.co/YPFQDjJUkG Morocco vs Iran - FIFA 18 World Cup,0.0,Negative,0.0
"Morocco,Saudi Arabia,Egypt,Nigeria and Iran are all out of the World Cup. This proves that praying 5 times a day does absolutely fuck all.",0.3,Negative,-0.05000000000000002
I added a video to a @YouTube playlist https://t.co/Q6bIgqaPwa Iran vs Morocco - FIFA 18 World Cup,0.0,Negative,0.0
RT @WWEXOL: [VOTE] We seem to be stuck at 45%. Please keep creating more accounts to vote for #EXO’s #Power to be played at the FIFA World…,0.75,Negative,-0.125
"RT @AaronBastani: My dad came from a country which had a coup orchestrated by British secret services (Iran).

He would cry tears of joy if…",0.3,Positive,0.13333333333333333
