Tweet,Subjectivity,Label,Sentiment Polarity
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"@derekalberts1 Also ""grand old English trait of gracious in victory"" lmao, like this gracious lot https://t.co/v44I7KgEDz",0.55,Positive,0.3
Panama moves on to the Chinese Basketball World Cup 2019 qualifiers https://t.co/YzREHQZeNP #panamatodaynews… https://t.co/uRC393xbq2,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @NetSix_Chill: After our close loss yesterday to Panama at the #BallParkTT World Cup tourney, the lads decided to talk it over while kno…",0.0,Negative,0.0
England vs Panama 6-1 All Goals &amp; Highlights 24-06-2018 https://t.co/Zh4YmTE1Ov https://t.co/fwl8ESkpGh,0.0,Negative,0.0
England vs Panama 6-1 All Goals &amp; Highlights 24-06-2018 https://t.co/DHYlDoCosh https://t.co/OWAAdKyCLF,0.0,Negative,0.0
@pgaskell13 Yeah I dont get it. Maybe if we win the World Cup final on pens but I saw videos of lads doing it for t… https://t.co/CpBjFb2RSi,0.7,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
Some great moments/memories have already been made for #England at this World Cup. Last minute Harry Kane winner vs… https://t.co/H0quTDmAoN,0.4083333333333333,Positive,0.4
@MarkSDobson Okay then..... managed to get a 2-2 draw against your world cup winning team but they wouldn't beat Pa… https://t.co/TBs6uomoTY,0.625,Positive,0.5
@elie2222 @ArchieHenry2 @RavNorris @TRFCPRINGO @Troniq8 @SunnyChelsea14 @WCGoalz Russia is not good and it is certa… https://t.co/9IrpaFdArA,0.6000000000000001,Negative,-0.35
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @tancredipalmeri: Wow. Panama commentators reaction off air while they listen for the first time the Panama anthem at the World Cup.
I t…",0.6666666666666666,Positive,0.175
"“Footballs comin home its comin” was tight yous, yous have beat Panama, scraped past Tunisia and drew with Colombia… https://t.co/TBzQbgkc8w",0.26785714285714285,Negative,-0.2142857142857143
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
@piersmorgan You are utterly deluded if you genuinely believe England can win the World Cup. Struggled against Tuni… https://t.co/wvopN7O5RH,0.6333333333333333,Positive,0.4000000000000001
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
Entering the world cup there was no hype. No pressure. Just happy to be playing. It was lovely. Then beat the might… https://t.co/kT90zqnNLo,0.875,Positive,0.65
"RT @cynicule: I don't understand that a country that has won the World Cup in the past considers winning vs Tunisia and Panama, 'strategica…",0.5,Positive,0.125
@FOXSoccer @AlexiLalas Futbol “El Tri” analysis: the experts knows that Osorio only had gas for the qualifiers CONC… https://t.co/lHzj70w1Xx,1.0,Negative,0.0
Grandma Had Been Wearing A Panama Flag Shirt Every July 4th And Didn't Know It Until The World Cup… https://t.co/6Ls3tz4rpS,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @thebugzoo: Best world cup i've ever witnessed, but playin havoc with my work schedule.....😂😂😂
(But, for all those bloated pundits, i re…",0.3,Positive,1.0
"RT @mulligan_andy: England have beaten tunisia 2-1 , a pub team in panama and got beaten by belgiums B team . They beat columbia. A team th…",0.0,Negative,0.0
"England have beaten tunisia 2-1 , a pub team in panama and got beaten by belgiums B team . They beat columbia. A te… https://t.co/NeeaXEY44D",0.0,Negative,0.0
@MarkOHaire England stats scewered by playing Tunisia and Panama-worst team to ever qualify for a world cup. We're… https://t.co/aVKmQ16xpv,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @Bet9jaOfficial: No it’s not a joke 

Half time 
England 5-0 Panama 

Is this the year England wins the World Cup? https://t.co/4JJ8viZe…",0.18333333333333335,Positive,0.06666666666666667
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
Watching England fans getting excited about winning the World Cup after beating Tunisia &amp; Panama is like watching C… https://t.co/MsTVim8mvw,0.75,Positive,0.4375
"@lukemcewen @TeleFootball @_PaulHayward I can appreciate your excitement, and hope you enjoy the rest of the World… https://t.co/98hp22YhMP",0.5,Positive,0.4
RT @BuzzFeedNews: This guy's grandma had been wearing a Panama flag shirt every July 4th and didn't know until he watched the World Cup htt…,0.0,Negative,0.0
Hilarious how England is already raising the WC Trophy. They beat Tunisia and Panama. And needed help from a bias R… https://t.co/rXDOdHhtTL,1.0,Positive,0.5
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
RT @BuzzFeedNews: This guy's grandma had been wearing a Panama flag shirt every July 4th and didn't know until he watched the World Cup htt…,0.0,Negative,0.0
RT @JDiaz_1887: A Guy's Grandma Had Been Wearing A Panama Flag Shirt Every July 4th And Didn't Know Until He Watched The World Cup https://…,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
RT @BuzzFeedNews: This guy's grandma had been wearing a Panama flag shirt every July 4th and didn't know until he watched the World Cup htt…,0.0,Negative,0.0
"RT @robwells1976: My short assessment of Englands World Cup opponents so far:

Tunisia - cheats
Panama - cheats
Belgium - nice guys
Colombi…",0.7666666666666666,Positive,0.2333333333333333
"RT @Betway_Ng: Harry Kane scored his fifth goal of this year's World Cup as England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 thrashed Panama 🇵🇦 6-1. With that hat-trick, Ka…",0.0,Negative,0.0
RT @Adam_Higgins27: The Galway pub where @HKane Irish family are from are giving away a free pint every time the England striker scores at…,0.4,Positive,0.2
RT @BuzzFeedNews: This guy's grandma had been wearing a Panama flag shirt every July 4th and didn't know until he watched the World Cup htt…,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
RT @BuzzFeedNews: This guy's grandma had been wearing a Panama flag shirt every July 4th and didn't know until he watched the World Cup htt…,0.0,Negative,0.0
