Tweet,Subjectivity,Label,Sentiment Polarity
"RT @slapshot_301: Them: “We’re in the World Cup, you’re not” 

Me: “Wait until the round of 16”

Argentina: lost 2 straight finals vs Chile…",0.4,Negative,0.0
RT @brfootball: PSG’s attack is cooking at this World Cup 💯 https://t.co/Y8zBfRXBrP,0.0,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
RT @DKAmbTanzania: Congratulation to #Tanzania and #Denmark for Yussuf Poulsen from #Tanga playing for DK at the World Cup in soccer scorin…,0.0,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
Commentary: Peru’s dream of a World Cup: A lesson for missions https://t.co/lr7eQEfPmo,0.0,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"@veke71 If not, will be wearing a Peru t-shirt... world cup mood on Saturday :P",1.0,Positive,0.75
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"RT @JK_Peru: @bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there anymore, we le…",0.8,Negative,0.0
"@bangtansher @FIFAWorldCup @BTS_twt FIFA WORLD CUP please, play FAKE LOVE by @BTS_twt ☕❤️ Even Peru isn't there any… https://t.co/p8ODCjVfIx",0.8,Negative,0.0
"RT @JoshieGlav: Argentina, Colombia and Peru all out the World Cup? Who’s gonna supply Maradona now",0.0,Negative,0.0
"Argentina, Colombia and Peru all out the World Cup? Who’s gonna supply Maradona now",0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/1HnBw81Ow1 France vs Peru - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/brLeotdgmB Australia vs Peru - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/eEktXVXGxe France vs Peru - FIFA 18 World Cup,0.0,Negative,0.0
"Please help support Perú World Cup 2018, add a #Twibbon now! https://t.co/Bm0TIyGHBZ",0.0,Negative,0.0
RT @KelsallSchool: Well done to Australia and Peru in today’s @ChesterFC Mini World Cup! https://t.co/8Ce6COXbNW,0.0,Negative,0.0
Find out where to watch live: https://t.co/ckQi5vgeG4 More match highlights: More from Russia 2018: More World Cup… https://t.co/Za2UveDipE,0.5,Positive,0.40909090909090906
"RT @king_adze: Man with the way this World Cup is going, the final might just be Saudi Arabia vs Peru",1.0,Negative,0.0
RT @KelsallSchool: Well done to Australia and Peru in today’s @ChesterFC Mini World Cup! https://t.co/8Ce6COXbNW,0.0,Negative,0.0
Well done to Australia and Peru in today’s @ChesterFC Mini World Cup! https://t.co/8Ce6COXbNW,0.0,Negative,0.0
@JacquiOatley How could so many Colombians afford their world cup visit ? Same with Peru .,0.3125,Positive,0.25
"RT @ThePeruReport: Ricardo Gareca, technical director of the Peruvian national soccer team that made it to and participated in the 2018 FIF…",0.1,Negative,0.0
"Ricardo Gareca, technical director of the Peruvian national soccer team that made it to and participated in the 201… https://t.co/0of5u3v4vx",0.1,Negative,0.0
