Tweet,Subjectivity,Label,Sentiment Polarity
"World Cup 2018: Japan keeper Eiji Kawashima makes brilliant save against Poland

Japan goalkeeper Eiji Kawashima pu… https://t.co/IUf2cYTxXc",1.0,Positive,0.9
"Columbia Trounce Poland by Three-goals-to-Nothing : Poland out of 2018 World Cup
https://t.co/Wiggeneb6q",0.0,Negative,0.0
RT @mermatriarch: the year 3 class my mum works in have been watching the cbbc world cup recap every morning EXCEPT the day after poland we…,0.0,Negative,0.0
RT @RuchirLModi: There are more ways than one to show love and loyalty to your favorite #sport! https://t.co/FVkabxlCXy,0.7000000000000001,Positive,0.5416666666666666
"RT @FTalentScout: Yerry Mina at the World Cup:

vs Poland ⚽️
vs Senegal ⚽️ 
vs England ⚽️

😱😱😱 https://t.co/wSJeogUbyg",0.0,Negative,0.0
"RT @FTalentScout: Yerry Mina at the World Cup:

vs Poland ⚽️
vs Senegal ⚽️ 
vs England ⚽️

😱😱😱 https://t.co/wSJeogUbyg",0.0,Negative,0.0
RT @RossKemp6: WORLD CUP NEWS: Columbia in enthralling match beating Poland 3 - 0 with fans doing what Columbians do best #POLCOL #WorldCup…,0.3,Positive,1.0
RT @jezmyers: @aylott Pretty sure Argentina won the World Cup in 86 despite maradona cheating. Deflategate. The fake rugby blood. Match fix…,0.9629629629629629,Positive,0.08333333333333333
"Poland, Migrants, World Cup: Your Wednesday Briefing - The New York Times https://t.co/FbVV54gl89",0.45454545454545453,Positive,0.13636363636363635
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
@aylott Pretty sure Argentina won the World Cup in 86 despite maradona cheating. Deflategate. The fake rugby blood.… https://t.co/Jhh0BZ4qDX,0.9629629629629629,Positive,0.08333333333333333
I added a video to a @YouTube playlist https://t.co/Ucx1ZEgS1h Poland vs Belgium - FIFA 18 World Cup,0.0,Negative,0.0
"I think the worst thing at the ongoing 2018 FIFA World Cup is both is Messi going out, Germany leaving at group sta… https://t.co/U88oXGG6vL",1.0,Negative,-1.0
"I think the worst thing at the ongoing 2018 FIFA World Cup is both is Messi going out, Germany leaving at group sta… https://t.co/o97FB3fyOM",1.0,Negative,-1.0
"RT @AthleticsWeekly: Olympic and world champions 🥇 announced for @AthWorldCup ➡️ https://t.co/kGCtIVRXXD
Poland, Jamaica and France have na…",0.0,Negative,0.0
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
POLAND VS SENEGAL FIFA WORLD CUP 2018 REACTION: https://t.co/AwQiAeSPH3 via @YouTube,0.0,Negative,0.0
@Ahmad_Farah_Mus I think he’s past it. Was below par for Poland at the World Cup. We need a top midfielder to play… https://t.co/ae1Lw7diZO,0.375,Positive,0.125
"RT @LUCA_athletics: #RT @AthleticsWeekly: Olympic and world champions 🥇 announced for @AthWorldCup ➡️ https://t.co/iDqsLRB3cQ
Poland, Jamai…",0.0,Negative,0.0
"RT @IWASFencing: The next World Cup in Warsaw, Poland, gets underway tomorrow! Check out who to look out for in a very deep field #Warsaw20…",0.26,Negative,0.0
"#RT @AthleticsWeekly: Olympic and world champions 🥇 announced for @AthWorldCup ➡️ https://t.co/iDqsLRB3cQ
Poland, J… https://t.co/qZ5IF9RRbS",0.0,Negative,0.0
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
RT @LLLwry: @MingGao26 RUSSIA  been having an awful lot of international visitors with cover of World Cup and Poland is crazy and the Dutch…,0.6333333333333333,Negative,-0.5333333333333333
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
Poland v Colombia - 2018 FIFA World Cup Russia™ - Match 31 https://t.co/qXmn78XJXj,0.0,Negative,0.0
"The next World Cup in Warsaw, Poland, gets underway tomorrow! Check out who to look out for in a very deep field… https://t.co/vbLPj4bVHX",0.26,Negative,0.0
"#FIFA give #WorldCup2018 final tickets to young viral video star

""A young Poland fan has landed tickets to the Wor… https://t.co/Syh60ZKw5v",0.6,Positive,0.06666666666666667
I see why Poland did so terribly in the World Cup. They were way too distracted and I don’t blame them one bit. https://t.co/MEOPOzKRAv,1.0,Negative,-1.0
"Sushil lost to Andrzej Piotr Sokaski of Poland at Croatia, who was 19th at World C`ship &amp; 9th at European C`ship. T… https://t.co/Z0VzhY0p4f",0.0,Negative,0.0
"RT @OptaJoe: 4 - Since 1966, only Grzegorz Lato &amp; Andrzej Szarmach (5 for Poland) and Michael Ballack &amp; Miroslav Klose (5 for Germany) have…",1.0,Negative,0.0
"Olympic and world champions 🥇 announced for @AthWorldCup ➡️ https://t.co/kGCtIVRXXD
Poland, Jamaica and France have… https://t.co/fTLsOoySda",0.0,Negative,0.0
RT @meiklejohn21: Wee man was in tears after Poland getting eliminated from the World Cup. The Colombian fans were absolutely fantastic wit…,0.9,Positive,0.4
RT @mermatriarch: the year 3 class my mum works in have been watching the cbbc world cup recap every morning EXCEPT the day after poland we…,0.0,Negative,0.0
"World Cup. Knockout Rounds:
Sweden; England qualify for Quarter Finals.

My predictions for Quarter Finals: Portuga… https://t.co/uA8EjRVqtq",0.0,Negative,0.0
RT @RuchirLModi: There are more ways than one to show love and loyalty to your favorite #sport! https://t.co/FVkabxlCXy,0.7000000000000001,Positive,0.5416666666666666
RT @RuchirLModi: There are more ways than one to show love and loyalty to your favorite #sport! https://t.co/FVkabxlCXy,0.7000000000000001,Positive,0.5416666666666666
"RT @Buzznaija18: This is beautiful, Senegal showing that Africans are well trained and organised. After beating Poland and getting the firs…",1.0,Positive,0.85
"RT @Buzznaija18: This is beautiful, Senegal showing that Africans are well trained and organised. After beating Poland and getting the firs…",1.0,Positive,0.85
"It’d be a purchase based completely on World Cup performances against Senegal, Poland and England. Which, let’s be… https://t.co/nacBgHAxKB",0.4,Positive,0.1
"RT @Buzznaija18: This is beautiful, Senegal showing that Africans are well trained and organised. After beating Poland and getting the firs…",1.0,Positive,0.85
"Day 21: Can Ruritania take care of business, or will San Escobar avenge Poland? Then at 2pm EDT, can the Laputans f… https://t.co/tWCW5urYVf",0.0,Negative,0.0
RT @mermatriarch: the year 3 class my mum works in have been watching the cbbc world cup recap every morning EXCEPT the day after poland we…,0.0,Negative,0.0
"Poland, Migrants, World Cup: Your Wednesday Briefing - The New York Times https://t.co/GooAbKu6l7",0.45454545454545453,Positive,0.13636363636363635
