Tweet,Subjectivity,Label,Sentiment Polarity
"Lionel Messi and Argentina were eliminated from the World Cup by France, Cristiano Ronaldo’s Portugal fell to a 2-1… https://t.co/LJuDmDehiw",0.0,Negative,0.0
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- John Stones playing like Franz Beckenba…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @Emiliobarrow: I honestly have no words , first Portugal then Argentina then my own damn team MX🇲🇽 then i hated Brazil cause of award wi…",0.7333333333333334,Positive,0.13749999999999998
"RT @FootballFunnnys: Germany, Argentina, Portugal and Spain all eliminated from the World Cup. 

It’s coming home. https://t.co/qmMNZzq1Nr",0.0,Negative,0.0
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @MichaelBarber9: Gone, six potential World Cup winners - Italy, Netherlands, Germany, Argentina, Portugal and Spain. Some very good team…",0.8900000000000001,Positive,0.45499999999999996
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @Emiliobarrow: I honestly have no words , first Portugal then Argentina then my own damn team MX🇲🇽 then i hated Brazil cause of award wi…",0.7333333333333334,Positive,0.13749999999999998
"@ZEBRAROVERS @proevopeople A stat that dosen't mean anything someone is playing for Brazil (5 world cup titles ), m… https://t.co/gdl10yzGiA",0.6875,Negative,-0.3125
"RT @WorIdCupUpdates: Ronaldo won the game for Portugal.

Modric won the game for Croatia.

Kroos won the game for Germany. 

Real Madrid pl…",0.37500000000000006,Negative,-0.25000000000000006
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"RT @bet365: - 2018 set to be the hottest UK summer ever
- Harry Kane top of the goalscoring chart
- Harry Maguire playing like Paolo Maldin…",0.5,Positive,0.5
"1Betfair #WorldCup #Quarterfinal
New Customer Offer
Its Coming Home
#ENG #SWE

World Cup Quarter Final
England v Sw… https://t.co/xfK0i7HPfL",0.7272727272727273,Positive,0.06818181818181818
"yeah, portugal vs spain and argentina vs france were the best matches of this world cup! https://t.co/Ma7yrvAJoa",0.3,Positive,1.0
