Tweet,Subjectivity,Label,Sentiment Polarity
"RT @virgencita_twt: @FIFAWorldCup https://t.co/cZmZf1eKjg

Fake love by @BTS_twt Is a incredible song, he deserves to be in the Russia worl…",0.8333333333333334,Positive,0.3
"World Cup final will include one of these teams: England, Croatia, Sweden, Russia. Really. https://t.co/N8m2Kc9Tcs",0.6,Positive,0.1
RT @DPJHodges: *Breaking* Jeremy Corbyn has called for a bank holiday if England win the World Cup. And his spokesman Seumas Milne has call…,0.4,Positive,0.8
"RT @realJohnnyward: Impressionist Johnny Ward on the road to Russia World Cup 2018. England. V Columbia . Motson, Mourinho, Steling.@GOODMA…",0.0,Negative,0.0
@VanessaBeeley Very careless of Putin to leave it around so it would contaminate someone at the height of a great W… https://t.co/Dz7oaJukZ0,0.875,Positive,0.07500000000000001
Hmmm...Brexit going to sh*te and Russia getting excellent PR over world cup. #Amesbury giving conspiracy theorists… https://t.co/fYH2yETgfq,1.0,Positive,1.0
"RT @jeremycorbyn: There's a long way to go, but if England win the #WorldCup the Government should declare a public holiday as a day of nat…",0.2888888888888889,Positive,0.25
"Hyperlapse ( Timelapse ) from World Cup 2018 Moscow
https://t.co/AarINa0QEN
#Russia #WorldCup #Fifa",0.0,Negative,0.0
"Do people still think it's Russia doing this? Just when they're getting great publicity from a great World Cup, why… https://t.co/ursUDz58T0",0.75,Positive,0.8
"RT @jeremycorbyn: There's a long way to go, but if England win the #WorldCup the Government should declare a public holiday as a day of nat…",0.2888888888888889,Positive,0.25
RT @Ian56789: UK gov &amp; MI5/MI6 invent new Novichok poisonings to deflect from the positive publicity Russia is currently receiving for the…,0.4666666666666666,Positive,0.12121212121212122
"RT @brianklaas: Just in time for the NATO summit, Trump’s ill-advised one-on-one meeting with Putin, and the England football team playing…",0.0,Negative,0.0
RT @Ian56789: UK gov &amp; MI5/MI6 invent new Novichok poisonings to deflect from the positive publicity Russia is currently receiving for the…,0.4666666666666666,Positive,0.12121212121212122
RT @Ian56789: UK gov &amp; MI5/MI6 invent new Novichok poisonings to deflect from the positive publicity Russia is currently receiving for the…,0.4666666666666666,Positive,0.12121212121212122
"RT @MarkAmesExiled: Tory conspiracy theory: Russia is trying to spread random civilian panic in Britain using its signature poison, timed p…",0.5,Negative,-0.5
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
RT @Ian56789: UK gov &amp; MI5/MI6 invent new Novichok poisonings to deflect from the positive publicity Russia is currently receiving for the…,0.4666666666666666,Positive,0.12121212121212122
"RT @jeremycorbyn: There's a long way to go, but if England win the #WorldCup the Government should declare a public holiday as a day of nat…",0.2888888888888889,Positive,0.25
Fuck.  https://t.co/hr1oO6biWu,0.6,Negative,-0.4
