Tweet,Subjectivity,Label,Sentiment Polarity
"RT @NoNameKitchen1: The NNK is in the camp in Principovac (Serbia), doing activities and clothes exchanges. We organized our own ""world cup…",1.0,Positive,0.6
"RT @NoNameKitchen1: The NNK is in the camp in Principovac (Serbia), doing activities and clothes exchanges. We organized our own ""world cup…",1.0,Positive,0.6
@FutbolsaCountry I think in a world cup there should be no perceived affiliations - none. Language is not important… https://t.co/UXbrH6nywz,0.0,Negative,0.0
"RT @msceducation: 8 Days Until World Cup begins...

Esteban Cambiasso finishing off a 26-pass move for Argentina against Serbia in 2006. ht…",0.0,Negative,0.0
RT @SportsWCards: #serbia Nemanja Matic #PANINI World Cup Russia 2018 football trading cards now in stock at https://t.co/GrCFy8rJzX https:…,0.0,Negative,0.0
"@arturpetrosyan ""You are a liar with an agenda.THE World Cup saw its first trouble inside a stadium tonight as figh… https://t.co/R8ZmQYhlnM",0.26666666666666666,Positive,0.024999999999999994
Shadow of #Kosovo hung over #Switzerland’s tie with #Serbia. @NickAmes82 explains why #Shaqiri https://t.co/qwRTK0Xzts,0.0,Negative,0.0
@FIFAWorldCup Did you know that Dr. Felix Brych has done the biggest robbery in the World Cup in Serbia - Switzerland match?,0.0,Negative,0.0
RT @GaryLineker: Mitrovic scores for Serbia and that equals the record for consecutive games at a World Cup without a goalless draw. 26 gam…,0.0,Negative,0.0
"RT @LFCHadouken: This World Cup has surpassed 2014 for me but the second round was extremely, extremely dull minus Germany v Sweden and Ser…",0.25,Negative,-0.14791666666666667
LIVE 🔴- Turkey v Serbia - Round of 16 - FIBA U17 Basketball World Cup 2018 https://t.co/AbI6yzYbHV via @YouTube....direktan prenos,0.45,Negative,-0.03181818181818183
🇮🇪 Republic of Ireland vs Serbia 🇷🇸 2018 FIFA World Cup Qualifiers https://t.co/FyKs3i6Ftx https://t.co/w7zYFCLaWU,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/aCFccftufs Costa Rica v Serbia - FIFA 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/bK4SB1Vknu Serbia vs Switzerland - PES 18 World Cup,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/U3HL8eYoE1 Serbia vs Brazil - FIFA 18 World Cup,0.0,Negative,0.0
"RT @ElMengem: Often argued I’d never get married cause no person could make me feel like a World Cup does, people laughed at me, but... the…",0.225,Positive,0.475
"@JamesAldworth @premierleague @NUFC Okay then. Mitro we signed for 13 million, has fired Fulham to the premier leag… https://t.co/S9T7ajuQWc",0.5,Positive,0.5
I liked a @YouTube video https://t.co/4ZAtaq7gRL LIVE 🔴- Turkey v Serbia - Round of 16 - FIBA U17 Basketball World Cup 2018,0.5666666666666668,Positive,0.1787878787878788
I added a video to a @YouTube playlist https://t.co/q4WcybthXg FANS of Brazil Russia World Cup 2018 Brazil v Serbia,0.0,Negative,0.0
FANS of Brazil Russia World Cup 2018 Brazil v Serbia: https://t.co/q4WcybthXg via @YouTube,0.0,Negative,0.0
SERBIA vs. BRAZIL FIFA WORLD CUP RUSSIA 18 (GAMEPLAY): https://t.co/QM2iRsMngO via @YouTube,0.0,Negative,0.0
SERBIA vs. BRAZIL FIFA WORLD CUP RUSSIA 18 (GAMEPLAY): https://t.co/lJhOTjcNO3 via @YouTube,0.0,Negative,0.0
SERBIA vs. BRAZIL FIFA WORLD CUP RUSSIA 18 (GAMEPLAY): https://t.co/gku8RPvEzJ via @YouTube,0.0,Negative,0.0
SERBIA vs. BRAZIL FIFA WORLD CUP RUSSIA 18 (GAMEPLAY): https://t.co/TPr1C8UXuw via @YouTube,0.0,Negative,0.0
SERBIA vs. BRAZIL FIFA WORLD CUP RUSSIA 18 (GAMEPLAY): https://t.co/jkhVJ6etT4 via @YouTube,0.0,Negative,0.0
"@IrishLion09 @FKPartizan_EN Pantic could have been in Serbia World Cup squad, had he stayed for 2 more years at Par… https://t.co/sqVKnuPRrN",0.5,Positive,0.5
@DavidVujanic Serbia vs England World Cup final who you with?,1.0,Negative,0.0
LIVE 🔴- Turkey v Serbia – Round of 16 – FIBA U17 Basketball World Cup 2018 https://t.co/C6zNjOvkaZ https://t.co/gZroDCAoj2,0.45,Negative,-0.03181818181818183
Japan and Serbia left the world cup. Not sure who to support anymore🤔,0.4444444444444444,Negative,-0.125
"I’ve just watched World Cup 2018, S2018E43: Serbia vs Brazil.  #tvtime https://t.co/qyYJ6RKVvP https://t.co/IlbvgvJJjP",0.0,Negative,0.0
Best of luck to U17 Turkish National team as they’ll face Serbia in the 1st round of FIBA World Cup in Argentina.… https://t.co/XyoTdXzJiW,0.35,Positive,0.4
RT @virgobuzz: 2018 FIFA World Cup Russia™ - News - Matic: We’ve put Serbia back on the football map - https://t.co/x5Oj9IGW5I% https://t.c…,0.0,Negative,0.0
RT @jonathanl50: Back in the office today after a week at the World Cup. Apologies to #readingfc fans I couldn't find a new striker. But if…,0.22727272727272727,Positive,0.06818181818181818
RT @jonathanl50: Back in the office today after a week at the World Cup. Apologies to #readingfc fans I couldn't find a new striker. But if…,0.22727272727272727,Positive,0.06818181818181818
"RT @Mitrala: I’ve been a total opportunist this World Cup. I’ve cheered for Marocco (because Netherlands), Iran (roots), Serbia (country of…",0.75,Negative,0.0
2018 FIFA World Cup Russia™ - News - Matic: We’ve put Serbia back on the football map - https://t.co/x5Oj9IGW5I% https://t.co/QiAGoFauyC,0.0,Negative,0.0
"RT @bet_clever: For every goal scored in the Brazil v Serbia game we will giveaway a World Cup beer glass. 🍺

Retweet &amp; follow to enter.

#…",0.4,Negative,-0.4
