Tweet,Subjectivity,Label,Sentiment Polarity
"One of the best nights supporting England in many years, the first time we’ve won on penalties in the World Cup and… https://t.co/beYpG6ss81",0.3458333333333333,Positive,0.5
"World Cup final will include one of these teams: England, Croatia, Sweden, Russia. Really. https://t.co/N8m2Kc9Tcs",0.6,Positive,0.1
"RT @brynmorfa: England’s first KO game win in 12 years.

England’s first penalty shootout win in a world cup ever.

Don’t miss the quarterf…",0.37333333333333335,Positive,0.34
"RT @swedense: We are totally stunned by the amazing World Cup support from people outside Sweden. Thank you so much, it means the world to…",0.475,Positive,0.2
RT @_peterglynn: Control of emotion and possession guides England past Colombia and into World Cup quarter-final with Sweden. Analysis of l…,0.25,Negative,-0.25
RT @jmemc10: England vs Sweden next. Smashing up every ikea possible before then. No surrender. England are winning the World Cup,0.5833333333333334,Positive,0.16666666666666666
RT @SkySportsNews: BREAKING: Bjorn Kuipers of the Netherlands to referee Saturday's World Cup quarter-final between @England and Sweden. #S…,0.0,Negative,0.0
"RT @swedense: We are totally stunned by the amazing World Cup support from people outside Sweden. Thank you so much, it means the world to…",0.475,Positive,0.2
"RT @boblister_poole: Scottish fans start supporting SWEDEN ahead of England's next World Cup match. Ungrateful Scots, receiving Billions fr…",0.125,Positive,0.125
RT @SkySportsNews: BREAKING: Bjorn Kuipers of the Netherlands to referee Saturday's World Cup quarter-final between @England and Sweden. #S…,0.0,Negative,0.0
"RT @swedense: We are totally stunned by the amazing World Cup support from people outside Sweden. Thank you so much, it means the world to…",0.475,Positive,0.2
"The World Cup final will include one of these teams — England, Croatia, Sweden, Russia. Really. https://t.co/3Zq45pCtCv",0.6,Positive,0.1
Scottish fans start supporting SWEDEN ahead of England's next World Cup match https://t.co/zpdvqxHNLt,0.125,Positive,0.125
RT @freebigbets: ' Harry Potter v Pippi Longstocking: England hold no fears say Swedish media: • Swedes accuse Gareth Southgate side of 'us…,0.0,Negative,0.0
"RT @swedense: We are totally stunned by the amazing World Cup support from people outside Sweden. Thank you so much, it means the world to…",0.475,Positive,0.2
