Tweet,Subjectivity,Label,Sentiment Polarity
"RT @AnythingLFC_: Shaqiri looks like the most likely transfer to happen at the moment with Switzerland out of the World Cup🔎

Would he be a…",0.75,Positive,0.25
"RT @Super6: 🇷🇺 Russia.
🇭🇷 Croatia.
🇩🇰 Denmark.
🇸🇪 Sweden.
🇨🇭 Switzerland.
🇨🇴 Colombia.
🏴󠁧󠁢󠁥󠁮󠁧󠁿 ENGLAND.
 
😳 One of these will be in the Wor…",0.0,Negative,0.0
"RT @AustinDarbo: Russia
Croatia
Denmark
Sweden
England
Switzerland
Colombia

One of the above teams will be in the World Cup final...madnes…",0.1,Negative,0.0
"⚽ WORLD CUP DAILY!

Want to re-live last night's penalty drama between Colombia and England as well as the action f… https://t.co/dypYtsIhlD",0.05555555555555556,Positive,0.03333333333333333
"RT @AnythingLFC_: Shaqiri looks like the most likely transfer to happen at the moment with Switzerland out of the World Cup🔎

Would he be a…",0.75,Positive,0.25
"RT @ATLSportsHQ: 2018 FIFA World Cup Round of 16 Recap of Sweden-Switzerland and Colombia-England
By: @dino_ATL
#WorldCup
#2018FIFAWorldCup…",0.4,Negative,-0.2
"RT @ATLSportsHQ: 2018 FIFA World Cup Round of 16 Recap of Sweden-Switzerland and Colombia-England
By: @dino_ATL
#WorldCup
#2018FIFAWorldCup…",0.4,Negative,-0.2
Phil Neville ridiculed by Stoke fans for describing Shaqiri ‘a disgrace last season’ https://t.co/JgWshegd2o,0.06666666666666667,Negative,0.0
"RT @AnythingLFC_: Shaqiri looks like the most likely transfer to happen at the moment with Switzerland out of the World Cup🔎

Would he be a…",0.75,Positive,0.25
"RT @Football_Naija: One of the young stars of the ongoing 2018 World Cup, Manuel Akanji (22), has disclosed that he was never contacted by…",0.4,Positive,0.1
"RT @ATLSportsHQ: 2018 FIFA World Cup Round of 16 Recap of Sweden-Switzerland and Colombia-England
By: @dino_ATL
#WorldCup
#2018FIFAWorldCup…",0.4,Negative,-0.2
"IFO that in the 1962 World Cup, the Chilean team ate Swiss cheese before beating Switzerland, spaghetti before beat… https://t.co/GgwHxkPLgT",0.0,Negative,0.0
"@dk3lly Just letting you know that Team Ireland beat out The Netherlands, Hong Kong, and Switzerland to place 21st… https://t.co/AcxkW9NrYS",0.0,Negative,0.0
"@mariecrowe Just letting you know that Team Ireland beat out The Netherlands, Hong Kong, and Switzerland to place 2… https://t.co/eDQKU35o0m",0.0,Negative,0.0
"@Cumoski Just letting you know that Team Ireland beat out The Netherlands, Hong Kong, and Switzerland to place 21st… https://t.co/AhNbAZTzNh",0.0,Negative,0.0
"RT @AnythingLFC_: Shaqiri looks like the most likely transfer to happen at the moment with Switzerland out of the World Cup🔎

Would he be a…",0.75,Positive,0.25
"@Murray_Kinsella Just letting you know that Team Ireland beat out The Netherlands, Hong Kong, and Switzerland to pl… https://t.co/kAl9n0Vp30",0.0,Negative,0.0
