Tweet,Subjectivity,Label,Sentiment Polarity
FIFA president Gianni Infantino has expressed his dismay that Africa failed to secure a place in the 2018 World Cup… https://t.co/4WZeUzoC9I,0.44999999999999996,Negative,-0.04999999999999999
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @JackoRugby: After a night of sleeping rough, Zimbabwe's World Cup rugby squad have a roof over their heads tonight before Saturday's qu…",0.4,Negative,-0.1
World cup 2030: Algeria considering joint bid with Morocco and Tunisia: Algeria are… https://t.co/toyJeEm0l6,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
RT @AJEnglish: Algeria to consider submitting joint bid to host 2030 FIFA World Cup with Morocco and Tunisia https://t.co/gpbgM6oBH3 https:…,0.0,Negative,0.0
"RT @RW_Crank: FYI, I told my Somali buddy at work the joke, ""Since Tunisia and Morocco are out of the World Cup, England and France are the…",0.0,Negative,0.0
"RT @themichaelowen: We’ve scraped past Tunisia in the last minute, beaten a pub team and got beat by the only decent team we’ve faced. Yet…",0.49583333333333335,Negative,-0.020833333333333336
"Morocco, Algeria and Tunisia should bid to host the 2030 World Cup - Middle East Eye https://t.co/kmbIfpMsWO",0.0,Negative,0.0
RT @AJEnglish: Algeria to consider submitting joint bid to host 2030 FIFA World Cup with Morocco and Tunisia https://t.co/gpbgM6oBH3 https:…,0.0,Negative,0.0
I liked a @YouTube video https://t.co/H9hgAVDwh6 F8TAL WORLD CUP! TUNISIA COMPLETE! | FIFA 18 ULTIMATE TEAM! #4,0.7333333333333334,Positive,0.2916666666666667
"RT @themichaelowen: We’ve scraped past Tunisia in the last minute, beaten a pub team and got beat by the only decent team we’ve faced. Yet…",0.49583333333333335,Negative,-0.020833333333333336
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
Some great moments/memories have already been made for #England at this World Cup. Last minute Harry Kane winner vs… https://t.co/H0quTDmAoN,0.4083333333333333,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"“Footballs comin home its comin” was tight yous, yous have beat Panama, scraped past Tunisia and drew with Colombia… https://t.co/TBzQbgkc8w",0.26785714285714285,Negative,-0.2142857142857143
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
@piersmorgan You are utterly deluded if you genuinely believe England can win the World Cup. Struggled against Tuni… https://t.co/wvopN7O5RH,0.6333333333333333,Positive,0.4000000000000001
What Was Behind Tunisia’s Poor Defensive Efficiency In opposition to England? Tactical Evaluation https://t.co/GWaEPDlgcC,0.6499999999999999,Negative,-0.4
"RT @AJENews: Algeria mulls joint 2030 FIFA World Cup bid with Morocco, Tunisia https://t.co/lOaaRHEGPq https://t.co/sUJk8DgX2h",0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @RW_Crank: FYI, I told my Somali buddy at work the joke, ""Since Tunisia and Morocco are out of the World Cup, England and France are the…",0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
Entering the world cup there was no hype. No pressure. Just happy to be playing. It was lovely. Then beat the might… https://t.co/kT90zqnNLo,0.875,Positive,0.65
"RT @cynicule: I don't understand that a country that has won the World Cup in the past considers winning vs Tunisia and Panama, 'strategica…",0.5,Positive,0.125
RT @News24: Zimbabwe’s national rugby team have been forced to sleep on the streets of Tunisia as they prepare for their next Rugby World C…,0.1,Negative,-0.15000000000000002
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
Tunisia hit back after Zimbabwe rugby team sleep on streets before qualifier https://t.co/GQZpQYILFP,0.0,Negative,0.0
"RT @youssefelhadidy: England fans thinking they’re winning the world cup after two wins against Panama and Tunisia, loss to Belgium and a d…",0.475,Positive,0.4
"RT @thebugzoo: Best world cup i've ever witnessed, but playin havoc with my work schedule.....😂😂😂
(But, for all those bloated pundits, i re…",0.3,Positive,1.0
"RT @mulligan_andy: England have beaten tunisia 2-1 , a pub team in panama and got beaten by belgiums B team . They beat columbia. A team th…",0.0,Negative,0.0
"England have beaten tunisia 2-1 , a pub team in panama and got beaten by belgiums B team . They beat columbia. A te… https://t.co/NeeaXEY44D",0.0,Negative,0.0
"Could the 2030 World Cup be hosted by Morocco, Algeria and Tunisia? 
https://t.co/EGIxb7T5ZO",0.0,Negative,0.0
World cup 2030: Algeria considering joint bid with Morocco and Tunisia https://t.co/MyagfCUW7m https://t.co/j3KMOvO4qZ,0.0,Negative,0.0
World cup 2030: Algeria considering joint bid with Morocco and Tunisia https://t.co/tocoIZBTEm https://t.co/QjLiS3Zs5g,0.0,Negative,0.0
@MarkOHaire England stats scewered by playing Tunisia and Panama-worst team to ever qualify for a world cup. We're… https://t.co/aVKmQ16xpv,0.0,Negative,0.0
