Tweet,Subjectivity,Label,Sentiment Polarity
"5,Betfair #WorldCup #Quarterfinal
New Customer Offer

#FRA #COL
World Cup Quarter Final
France v Uruguay

🔥France t… https://t.co/KRDeDRSrR6",0.7272727272727273,Positive,0.06818181818181818
"#URU vs #FRA on Friday and here's what #TeamFT Suggests..⚽️

£29 returns with a win - ✅
£60 in free bets - ✅… https://t.co/b35m9wqWC8",0.6000000000000001,Positive,0.6000000000000001
World Cup QF: France’s speed vs. Uruguay’s defence https://t.co/AYE9MDLlj0 https://t.co/xgjqe283lU,0.0,Negative,0.0
"Lionel Messi and Argentina were eliminated from the World Cup by France, Cristiano Ronaldo’s Portugal fell to a 2-1… https://t.co/LJuDmDehiw",0.0,Negative,0.0
"Uruguay Beat Saudi Arabia 1-0 : Qualify for the Second Round of 2018 FIFA World Cup
https://t.co/VNAyk8pqw3",0.2,Negative,-0.1
"RT @goal: Adil Rami doesn't see much chance of Cavani returning to face France #WorldCup

https://t.co/8K9UfeluDb",0.2,Positive,0.2
RT @GoalcomNigeria: Cavani will have to 'destroy science' to face France - Rami https://t.co/EOyeu4CBhH https://t.co/J63EYawyZJ,0.0,Negative,-0.2
"RT @cesarelias95: Uruguay 🇺🇾 winning the World Cup , if im wrong I’ll send 20$ to everyone that retweet’s this.",0.825,Negative,0.0
FIFA World Cup 2018: France-Uruguay pits speed vs. defense in World Cup quarters https://t.co/J3G9xu92aC,0.0,Negative,0.0
"France and Uruguay
World Cup 66
First round https://t.co/50smv7ovrG",0.3666666666666667,Positive,0.024999999999999994
"RT @FOXSports: The FIFA World Cup is down to the Quarterfinals this Friday on FS1!

First at 9am ET, Uruguay tries to shutdown France's ele…",0.34074074074074073,Negative,-0.014814814814814828
"RT @FOXSports: The FIFA World Cup is down to the Quarterfinals this Friday on FS1!

First at 9am ET, Uruguay tries to shutdown France's ele…",0.34074074074074073,Negative,-0.014814814814814828
"RT @FOXSports: The FIFA World Cup is down to the Quarterfinals this Friday on FS1!

First at 9am ET, Uruguay tries to shutdown France's ele…",0.34074074074074073,Negative,-0.014814814814814828
Quarter Finals are here and Uruguay and France are the first ones to fight a spot in the FIFA World Cup Semi-Finals… https://t.co/haxPZTTX3G,0.3333333333333333,Positive,0.25
Uruguay Sweden world cup final called it first,0.6666666666666666,Positive,0.125
@NiallOfficial @FM104 Niall when Uruguay wins the World Cup you have to come and visit the champs,0.2,Positive,0.3
"RT @AFPphoto: World Cup Fans Show their Colors during the 2018 FIFA #WorldCup in Russia.
Quarter final Uruguay - France on Friday 6th of Ju…",1.0,Negative,0.0
Live Streaming !! Uruguay Vs Francis – Quater Final World Cup Russia 2018 https://t.co/SCslwqKrYw,0.75,Positive,0.1065340909090909
Live Streaming !! Uruguay Vs Francis – Quater Final World Cup Russia 2018 https://t.co/6ijnULOPL5,0.75,Positive,0.1065340909090909
"Uruguay Beat Russia 3-0 in their Last Group Game : Both Teams Advance to Round of 16
https://t.co/SdEaHpywcL",0.2888888888888889,Negative,-0.20000000000000004
@stipemiocic can we agree on a Croatia Uruguay World Cup final? Good luck for your fight man.,0.8,Positive,0.35
